lon,lat,stage
115.056400,-21.051370,3.116420
114.978100,-21.167480,3.118432
114.976090,-21.169110,3.119780
115.060100,-21.034980,3.122894
115.059500,-21.062480,3.122958
115.064430,-21.020390,3.123386
115.061990,-21.044650,3.124736
115.063540,-21.042630,3.125561
115.065440,-21.040500,3.126298
115.066340,-21.017980,3.127259
115.067500,-21.038150,3.127888
115.061710,-21.059700,3.129812
115.068240,-21.015670,3.131067
115.070410,-21.012840,3.131479
115.069610,-21.035740,3.132149
115.066670,-21.028250,3.135039
115.071620,-21.033390,3.136365
115.064070,-21.056710,3.137191
115.066490,-21.053690,3.143531
115.068960,-21.050480,3.145238
115.071280,-21.047700,3.146938
115.075030,-20.987910,3.157057
114.963620,-21.197750,3.164995
115.073950,-20.976220,3.169609
115.086880,-20.976660,3.171164
115.076300,-20.974150,3.174656
115.089800,-20.973700,3.174903
115.080000,-20.970000,3.178562
115.078460,-20.972030,3.179081
115.083750,-20.965950,3.179805
115.085800,-20.948950,3.210346
115.087710,-20.946590,3.214137
115.078610,-20.944560,3.216644
115.090020,-20.943620,3.218885
115.080310,-20.942390,3.221626
115.092190,-20.940690,3.223115
115.082000,-20.940600,3.224820
115.070940,-20.939630,3.227055
115.084110,-20.938290,3.230022
115.088830,-20.933540,3.230830
115.072220,-20.938030,3.230857
115.073970,-20.936090,3.235594
115.075820,-20.934070,3.240386
115.091140,-20.930850,3.241049
115.072740,-20.929230,3.249651
115.093360,-20.928060,3.250936
115.073770,-20.924580,3.260208
115.082470,-20.913400,3.312895
114.881600,-21.263170,3.344160
114.876940,-21.268940,3.374663
114.874000,-21.271990,3.399324
115.091480,-20.893970,3.400653
114.871690,-21.274470,3.416568
115.101930,-20.889810,3.416819
115.093530,-20.891340,3.419410
114.867080,-21.279260,3.431784
114.864710,-21.281890,3.448324
114.862690,-21.284160,3.460451
114.601920,-21.486590,3.699400
114.604890,-21.485990,3.720224
114.780540,-21.375920,3.787549
114.759560,-21.386130,3.813433
114.757710,-21.388390,3.823359
114.731450,-21.403030,3.878316
114.729470,-21.405660,3.880651
114.624910,-21.473350,3.884400
114.628500,-21.472760,3.885256
114.645580,-21.465150,3.934536
114.672260,-21.449610,3.978848
